ANG,ANG MEANING
AGGRESSIVE,behaving in an angry and violent way towards another person
ANXIOUS,worried and nervous but a little
ARRANGE,"to plan, prepare for, or organize something"
BULLY,"this person imposes their personality on others, making other people feel bad."
BURN-OUT,extreme tiredness usually caused by working too much
CHARISMATIC,used to describe a person who has charisma
CONFIDENT,having confidence
CONTRIBUTE,"to give something, especially money, in order to provide or achieve something together with other people"
COOPERATIVE,willing to help or do what people ask
DECISIVE,"able to make decisions quickly and confidently, or showing this quality"
DEPENDENT,needing the support of something or someone
EASY-GOING,relaxed and not easily upset or worried
FIND YOUR FEET,to become familiar with and confident in a new situation
FRIENDLY,"behaving in a pleasant, kind way towards someone"
GET ON WELL,to be with good relations with someone
HARD-WORKING,always doing a lot of work
HECTIC,"full of activity, or very busy and fast"
HELPFUL,"willing to help, or useful"
IMPOSE,"to force someone to accept something, especially a belief or way of living"
INDIVIDUAL,a person who thinks or behaves in their own original way
LEADER,the person has a natural ability to encourage others
LEARN/KNOW THE ROPES,to learn/know how to do a job or activity
LET SB DOWN,to disappoint someone by failing to do what you agreed to do or were expected to do
MAVERICK,this characer does things their own way
MESSY,producing or causing dirt and untidiness
MOTIVATING,able to influence someone to behave in a particular way
OBSESSIVE,"thinking about something or someone, or doing something, too much or all the time"
ORGANIZED,able to plan things carefully and keep things tidy
OVER-CRITICAL,too eager to find mistakes in everything
PASS THE BUCK,to blame someone or make them responsible for a problem that you should deal with
PATIENT,having patience
PREDICTABLE,happening or behaving in a way that you expect
PRIORITISE,to decide which of a group of things are the most important
PULL TOGETHER,to work hard as a group in order to achieve something
PULL YOUR WEIGHT,to work as hard as other people in a group
RED TAPE,official rules and processes that seem unnecessary and delay results
SELFISH,thinks only of their own advantage
SETTLE IN,to become familiar with somewhere new and to feel comfortable and happy there
SINGLE-MINDED,very determined to achieve something
STRESSED,worried and nervous very much
TAKE IT EASY,"rest, relax, or be calm"
TEAM PLAYER,someone who is good at working closely with other people
WORK YOUR FINGERS TO THE BONE,"to work extremely hard, especially for a long time"
WORKAHOLIC,a person who works a lot of the time and finds it difficult not to work
